gene_name,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
Pdgfa,0.3380553,-0.038434707,-0.005097374,0.17916654,0.015321999,0.37167153,0.13501345,-0.05456262,-0.009383215,0.097207144,0.026218476,-0.24560192,0.38579896,0.18097472,-0.68112767,0.026074829,0.23577634,-0.010936582,-0.04959711,-0.37926865
Fscn1,0.19217102,-0.10698047,-0.062438704,0.029965814,0.19379254,0.23775414,-0.051055633,-0.13585119,-0.1736421,-0.09590739,-0.005177068,-0.57732874,-0.015688607,0.20932913,0.009298628,0.089082696,0.10314706,0.0140442,-0.046231475,-0.07043891
Nptx2,0.063787304,-0.27525577,0.061000343,0.041959494,0.20254216,0.42513752,0.07032941,-0.06847056,0.0014057759,-0.07798537,-0.02285524,-0.9923769,0.14786671,0.4867503,-0.603594,-0.043910798,-0.105848886,0.28958347,0.21191117,0.4290912
Arpc1b,0.10288229,-0.29730973,0.11511383,-0.006411309,0.23925348,0.22471069,-0.010183323,-0.029955322,-0.19604473,-0.049989227,-0.022942888,0.29816964,0.15080857,0.2740869,0.28174952,0.017833343,0.078019604,-0.034832615,-0.018026073,-0.12920156
Rasl11a,0.35623372,-0.21674071,-0.083874054,0.18683726,0.3222503,0.24075484,-0.20391321,-0.113656245,-0.292346,-0.048346087,0.13295719,-0.7573168,0.042903546,0.22332594,-0.18526705,-0.0076386505,0.2521829,0.059375808,-0.060708664,0.045898996
Cdx2,0.25477514,-0.63429296,-0.07000784,0.12833488,-0.14206737,0.45427042,0.053449403,-0.11315427,-0.15999235,0.060212534,0.12555568,0.4458693,0.03700348,-0.4988634,-0.29358625,0.21477441,0.4395361,-0.58336,-0.115603544,-0.27879277
Hmgb1,-0.024128182,-0.060141075,-0.06361782,0.044465058,0.23787266,0.22862132,-0.036448877,-0.10836405,-0.22673945,-0.067733005,0.0027720295,-0.3258007,-0.12568346,0.26755962,0.06356351,0.10779298,0.08667898,0.036138598,-0.025239263,-0.09167066
Gng11,0.60900337,0.184358,0.25628898,-0.29016334,0.11846241,0.06389536,0.02889869,-0.035342555,-0.02549723,-0.16697384,-0.015004075,-0.3656007,-0.23785709,0.3841483,0.36230415,-0.014486553,-0.6175367,-0.12545472,-0.08963676,-0.072767705
Sgce,0.44804174,0.12309592,0.032647856,0.012425638,0.0832789,0.42360133,-0.0067558726,-0.0027013938,-0.10622572,0.056967147,-0.0018675528,0.09019364,-0.10377936,0.08715028,-0.15085816,0.1593124,-0.306571,-0.1834926,0.027840788,0.05112599
Peg10,0.14469308,0.08309211,0.024107188,-0.01675698,0.2920077,0.31101972,0.0522159,-0.12384472,-0.20421171,-0.03781645,0.12602058,0.61687773,0.19944581,-0.2209039,-0.041995056,-0.014311126,-0.16952513,-0.018935746,-0.11224381,-0.120653324
Pon2,-0.07539274,0.062191114,0.055538848,-0.31391612,0.08593388,0.26195598,-0.033100117,-0.048967782,-0.097084805,0.03369869,-0.0154336,0.26859984,-0.11606949,0.19692114,0.20462859,0.187899,0.19436194,0.028043225,-0.074120775,-0.10151873
Asb4,0.47979715,0.18275955,0.062239308,-0.20156507,0.10146708,0.28589034,0.010366747,-0.017769977,0.01904196,0.106940515,0.13965435,-0.70259863,-0.07756952,-0.084581174,0.08787565,0.23046353,-0.64433426,0.27362105,-0.0113945855,0.06622917
Asns,-0.13225599,-0.056193605,-0.095314026,-0.08468358,0.16578507,0.26883623,-0.097830124,-0.10298722,-0.20318235,-0.043525614,0.01902446,-0.3181178,0.043667004,0.15607114,0.15713698,0.07574192,0.30824113,0.115025654,0.002406327,0.05117246
Wnt2,-0.03843643,0.51574993,0.021489246,0.123763435,0.4020066,-0.31647334,-0.0125801,0.07075318,-0.31034097,0.21782817,0.17578763,-0.9525568,0.18829553,-0.75462806,0.24647997,0.44373047,-0.72825724,-0.04435513,0.07145007,0.06385806
Tspan12,0.08736876,0.36918706,-0.07577809,-0.27373505,0.102970764,0.2729859,-0.20680547,-0.35197842,-0.10821943,-0.05590453,0.039270096,-0.24605577,-0.20484324,0.14206487,0.10903358,-0.058214713,-0.42463544,-0.39484486,-0.113107726,-0.10886889
Tspan33,-0.8036031,-0.15014462,0.10771362,-0.21407843,0.15118282,0.25934342,0.061920762,-0.26662382,-0.07794829,0.052152704,0.246451,-0.06984863,0.12713891,0.5459086,-0.013316193,-0.036301363,0.34065786,0.08367711,0.012365979,-0.10529023
Mest,0.5517967,0.20891482,-0.03802111,-0.05783059,0.2261415,0.32891858,-0.054249328,0.03683994,-0.1301384,-0.12444334,0.100030705,-0.4625226,0.16613302,0.2910147,-0.01298555,0.06227164,0.11281357,0.00084142754,-0.07002494,-0.08560019
Podxl,-0.16775239,0.18974371,-0.15641649,-0.19667225,0.34522587,0.32931882,0.068477415,-0.17517957,-0.15770708,-0.18057925,0.1587549,0.24474187,0.11882583,0.30406544,-0.20232616,0.056525115,-0.4000181,-0.023258224,-0.09403477,-0.15543947
Akr1b8,-0.07290302,-0.06983029,-0.17438872,0.002091478,0.46031132,0.2194813,-0.061251618,-0.067059375,-0.050522543,0.05589925,-0.006452063,-0.15830727,0.37130263,0.25857368,0.030649941,0.46433768,-0.40145984,-0.3106346,-0.016911883,0.0029893685
Cald1,0.4864378,0.07213023,-0.02803616,-0.1790582,0.33921796,0.23387502,0.06533406,-0.11588755,-0.23592341,-0.072887205,-0.1259573,-0.43486467,0.18078125,0.088005766,-0.093317196,0.008477573,0.24743584,0.10058574,0.00062160747,0.027193585
Slc13a4,-0.30360103,-0.10389594,-0.11338213,-0.06347182,0.15002002,0.29563507,0.013819742,-0.054637305,-0.15511958,-0.13212001,0.112663336,0.31943554,-0.25443858,0.2778693,-0.14777316,-0.0058951895,-0.7030674,-0.39809924,-0.054406237,0.20413417
Ptn,0.34087917,0.36589345,-0.04061619,0.16822429,0.34488767,0.14503804,-0.10172971,-0.08243155,-0.1982608,0.015002092,-0.133094,-0.908137,-0.10292667,0.5699488,-0.57520676,0.13004093,0.19439559,-0.6331804,-0.11452262,0.060975827
Mkrn1,-0.10990338,-0.35973996,-0.009938742,0.115463935,0.23377496,0.239512,0.007350648,-0.08878577,-0.25078195,-0.10435407,0.057416867,-0.2138088,-0.07880611,0.3907055,-0.12383885,0.2025356,0.24016815,0.10916611,-0.060096785,-0.10706878
