gene_name,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
Sox17,0.2575289,-0.19658445,0.4058103,-0.12741932,-0.36756596,0.29101253,0.08653094,-0.116973184,0.35221854,0.26236874,-0.14156929,0.03914821,-0.3590572,0.50479937,0.20513421,-0.32593024,-0.8891854,0.15174748,-0.17482989,-0.40929863
Sgk3,-0.3351042,-0.51371324,-0.053637724,-0.017054027,-0.1003796,0.22350183,-0.13912795,-0.005233166,-0.29937845,0.113866255,0.13864654,0.1601255,-0.13579579,0.071430884,0.16940632,0.036693133,-0.2174707,0.3726698,0.023720924,-0.21138163
Rdh10,0.046573196,0.2943995,0.069526345,0.08471176,0.2644705,0.2224544,-0.13998525,-0.29660907,-0.119811654,0.0034409598,0.17608568,0.19662045,-0.35298884,0.16080742,0.20081799,0.030675802,-0.10450447,-0.17284566,-0.16363849,0.20115352
Ptpn18,0.3503032,-0.60660654,0.004830054,-0.17732419,0.35480386,0.22994353,0.107648,-0.13629086,-0.095860176,-0.097879685,0.07675839,-0.1766959,0.2551589,0.1189176,0.34126413,-0.014521697,-0.17005463,0.19111241,0.00059549656,-0.31286487
Cfc1,0.064607605,0.0024970497,-0.09117837,0.038659446,-0.06556185,0.29591367,0.24990585,-0.33101428,-0.4367468,0.08173472,0.37141272,-0.3416029,-0.29340145,-0.5499075,-0.17829336,0.14729916,-0.917388,0.41494188,0.05625392,0.1117297
Fhl2,0.48007748,-0.038681466,0.10086862,-0.109254204,-0.037002396,0.21562226,-0.0072150053,-0.14186917,-0.061993983,-0.1728998,0.14284822,0.24327667,0.15054907,0.22941174,-0.12894265,0.27773622,-0.08654495,0.14640573,-0.05065458,0.01014689
Slc40a1,-0.12661938,-0.26062632,-0.036853828,-0.21216129,-0.22681198,0.2733892,-0.14717497,0.057781465,-0.28790796,-0.37427944,0.12953916,0.6892225,0.051750932,0.4341636,-0.2700141,0.06125506,0.19842221,0.25280178,0.09065393,-0.026311675
Inpp1,0.36702546,-0.6216756,0.054168977,-0.02544609,0.3449008,0.26398036,-0.058083963,0.097595416,-0.14168766,-0.06346508,0.015069683,0.034935277,0.12773809,0.27242535,-0.054820158,0.24751253,0.45439056,0.09852241,0.04264482,0.11884281
1700019D03Rik,-0.24965672,-0.5586993,-0.06267521,0.26291022,0.29657972,0.1661055,-0.070468396,-0.17186736,-0.28271797,-0.22685847,0.34791198,0.15967771,-0.18114665,0.8463093,-0.5625085,0.12671065,-0.20739034,-0.107185915,0.07038572,-0.23524226
Spats2l,0.42371115,0.07997686,-0.038404476,-0.12531841,0.33874482,0.16406797,-0.022877226,0.061889414,-0.20890406,-0.14647405,0.045179285,-0.2948847,0.11932179,0.17462677,0.1470985,0.22612661,-0.5256249,0.11705674,-0.065038696,-0.020437643
Nrp2,0.4333064,0.24368696,0.11257713,0.058372475,0.5453609,0.09347745,-0.07391186,0.08958052,0.11837707,-0.07252618,0.037039615,0.23888317,0.019846158,-0.16063228,-0.17739324,-0.040302973,0.027804699,-0.10010435,-0.053867135,-0.10106623
Fn1,-0.062157,0.19305605,0.03364997,-0.16827843,0.38674074,0.0628681,0.028362228,-0.057856776,-0.09055477,-0.16010366,-0.025311861,-0.37971994,-0.29273576,-0.3538328,0.04213965,-0.10642443,-0.42454377,-0.14829771,-0.02811829,-0.1219993
Rpl37a,-0.050000027,-0.03755465,-0.071909525,0.04728712,0.24004816,0.22502978,0.003856236,-0.10573011,-0.2390064,-0.07797707,-0.020005707,-0.24942786,-0.12461506,0.2884073,0.07447,0.09785192,0.110427365,0.038126003,-0.021519482,-0.10659103
Igfbp2,0.20297925,-0.20576851,-0.15894915,-0.096249744,0.17185266,0.25022936,-0.035439413,-0.05598876,-0.1987264,-0.18314993,-0.10392972,-0.71560365,-0.17151056,0.40586495,-0.5088471,0.25450468,-0.21895443,0.13527533,-0.061828814,-0.026953148
Igfbp5,0.17649002,0.9641218,0.3301132,-0.13593997,0.31779644,-0.0015770328,0.095024966,-0.09855295,-0.20353751,0.18769537,0.11108794,0.17107104,-0.37168482,0.7681286,-0.5024575,0.013077919,-0.5515115,-0.16818953,0.018468697,-0.10580523
Wnt6,0.31690684,-0.118844345,-0.22251894,0.1365864,-0.20028248,-0.060431734,-0.0886002,-0.034314673,-0.17642732,-0.009183077,-0.015321406,0.3237615,0.7313495,-0.12469694,-0.8651845,0.19148262,0.51339793,0.04889173,-0.07204341,-0.3202346
Tuba4a,-0.68424666,-0.47879472,-0.05483487,-0.031063627,0.15293469,0.1758916,-0.104442894,-0.115484685,-0.32278398,-0.014054151,0.0044467975,0.05236053,-0.10519417,0.47869235,0.068847366,0.1558589,0.0599763,0.06841061,0.09158119,-0.07300746
Epha4,0.10850139,0.07700814,-0.14486873,0.0729957,0.4195294,0.08076732,-0.06437134,-0.067180805,0.12114065,-0.30954793,0.013279936,-0.48600847,-0.413575,-0.12740473,-0.8201929,-0.053195257,-0.2896484,-0.23129663,0.047209267,0.15601647
Ap1s3,-0.09529296,-0.39040858,-0.15470843,-0.17193031,-0.007644193,0.24712232,-0.07903847,-0.15121624,-0.048737925,-0.08640126,0.16834328,-0.2825077,-0.30917293,0.50571096,-0.10583948,-0.044894833,0.15574779,0.37332517,-0.08078168,-0.055926636
Pid1,0.06108138,-0.5878194,-0.106144905,0.11064908,0.088452965,0.113048725,-0.10280126,-0.22084378,-0.1707876,-0.12037843,0.015104941,-0.101707935,-0.34250325,-0.1603014,-0.46425006,0.21080503,-0.21076691,0.25129455,-0.14085817,-0.1378596
Ptma,-0.046242118,-0.07509343,-0.06566075,0.0511124,0.2401588,0.2269881,-0.03513209,-0.109384,-0.22475591,-0.06846904,0.0132317655,-0.30582,-0.12665148,0.27533478,0.054771475,0.09876118,0.09069565,0.04143384,-0.02753984,-0.09077405
Arl4c,0.39368418,-0.2820813,-0.1733133,0.01561586,0.2612103,0.3218416,-0.08619997,-0.17266963,-0.3789762,-0.12693769,0.07975203,-0.3161463,0.17205542,0.34669995,-0.45947355,0.29139084,-0.079105616,0.108413056,-0.1523167,-0.2696284
Gbx2,0.14549826,-0.3982198,-0.12546326,0.3626755,0.19538014,0.09513873,-0.10567793,-0.27202004,-0.036559965,0.15330492,-0.007791393,-0.57016695,-0.016176004,-0.04209264,-0.5453692,-0.07727531,0.503273,-0.9000727,-0.20416746,0.04220333
Lrrfip1,0.092399634,0.03942817,-0.12912373,-0.05433745,0.26846877,0.32596362,-0.10804875,-0.09447963,-0.19750138,-0.11156181,0.11537342,-0.09396913,0.11076601,0.2364872,0.055285316,0.25922325,0.03591136,-0.0014431917,-0.016204016,-0.0862533
Scly,-0.24976355,-0.1996153,0.028753348,0.120252825,0.065590985,0.19638899,-0.07007114,-0.0514884,-0.14991176,-0.046130203,0.08965901,0.019135233,-0.26392293,0.40322632,-0.033540737,0.22817148,-0.037934765,0.021245632,0.1104584,-0.095021844
Bok,0.41089618,-0.31132796,0.18611975,0.053712938,0.26252052,0.20994233,0.036998697,-0.08330783,-0.17650388,-0.20356484,0.13617153,-0.45819452,0.31778523,0.47232214,-0.358871,0.27395168,0.45333543,0.12770404,-0.04508246,-0.042772874
Ralb,0.24474795,-0.26152056,-0.04701681,-0.17562966,0.27339086,0.18494548,-0.11699754,-0.041975554,-0.17439489,-0.042702243,-0.08503165,-0.064475335,-0.048319995,0.22201781,0.29167023,0.17424704,-0.08031972,-0.01032022,-0.023075532,-0.09656117
Tmem37,-0.07891575,-0.22981802,-0.10597145,-0.031415205,0.28799072,0.20440578,-0.1274806,-0.059374847,-0.18143027,-0.1880893,-0.088756405,0.65588504,0.11759531,0.48674408,-0.042826507,0.052936174,-0.25430077,-0.17346348,-0.005658553,0.078483865
Dbi,0.028442131,-0.06621036,-0.049553826,0.0865368,0.20856448,0.21422227,0.007942903,-0.11405268,-0.254573,-0.0866238,-0.030424181,-0.103119425,-0.15929097,0.35375455,0.074205786,0.12755163,0.055641487,-0.049584668,-0.016898407,-0.07392427
Btg2,-0.34497374,0.006624516,0.21994694,-0.19449754,0.2748632,0.26099905,0.028245693,-0.1011606,-0.14867538,-0.05494542,-0.1636313,-0.5545708,0.015708147,0.13401458,0.09648961,-0.006326748,0.30217075,0.17937742,0.29391336,0.0101724705
Elf3,-0.040627375,-0.37233037,0.0019703486,0.15612909,-0.16973369,0.22595392,-0.08580573,-0.22851688,-0.21137387,0.18148442,-0.082888894,0.30588034,0.1444897,0.42932454,-0.23550823,-0.094464175,-0.19505055,0.38422084,0.06547366,-0.2015926
Csrp1,0.25477496,-0.0036147288,-0.00588183,-0.14233929,0.16454764,0.28114417,0.0018117046,-0.19897476,-0.23524493,-0.1345774,0.0159129,-0.030823423,0.092902794,0.09421262,0.09695987,0.2364047,-0.07057018,-0.09287019,0.021641742,-0.11137745
Phlda3,0.2256094,-0.49067178,-0.11977067,-0.05253708,0.2080976,0.005919191,-0.11384316,-0.27323464,-0.2630592,-0.18164214,0.058380038,-0.33260912,0.21612515,0.06677236,-0.2666214,0.24223761,0.32749876,-0.15667331,-0.059969887,-0.185858
Tnni1,-0.16698685,0.5296651,-0.024100205,-0.26357937,0.182651,-0.010962439,0.0451717,-0.35622215,-0.31737816,-0.29455504,0.18627523,-0.50952446,0.1457734,-0.34315276,0.29749483,0.29715306,-0.3112626,-0.57635397,0.16601144,0.20437263
Lad1,0.022680365,-0.6347836,-0.18469967,-0.032422367,-0.06911025,0.06719302,-0.18044585,-0.16437018,-0.40653655,-0.36581942,0.13929279,0.40746292,0.0018637328,0.16008392,-0.36542448,0.15838799,0.14660074,-0.055684637,-0.027655588,-0.21133593
Lamc1,-0.12524751,0.19755708,0.08629885,-0.22013712,0.40730286,0.3274316,0.08314345,-0.12633315,-0.04506724,-0.116439156,-0.17255563,0.05678556,0.03156474,0.061521146,-0.39529943,0.104049176,-0.098376386,0.08043136,-0.10120025,-0.14827912
Npl,-0.33616224,-0.20291756,-0.034331482,-0.09318756,0.15324044,0.22870032,-0.07721219,-0.14380796,0.12978302,-0.16054006,0.007405528,0.11621369,-0.14230473,0.38708797,0.35418266,-0.0036333094,-0.45297322,-0.60804886,0.057873562,0.10018575
Glul,-0.076199345,-0.17913432,-0.040468924,0.12734695,0.1580822,0.19967587,-0.108033635,-0.093689255,-0.1598259,-0.07847884,0.019533526,-0.14906125,-0.24811642,0.29161802,0.061557412,0.13560778,-0.058182396,0.0292304,-0.025961578,-0.053063218
Atp1b1,-0.1313543,-0.18650208,0.102453515,0.08636725,0.23101977,0.27642843,-0.05051011,-0.118024506,-0.2268858,-0.110623494,-0.05248039,0.34622315,-0.08844407,0.48070374,-0.11466417,0.21948609,-0.40537477,-0.07984812,0.14384516,-0.05797252
Sft2d2,0.116538115,-0.10553499,-0.034696013,-0.088432595,0.15051398,0.21154514,-0.0011879251,-0.008224464,-0.1836605,-0.0999584,0.097140536,0.18337956,-0.1453127,0.35856217,-0.08193737,0.104341805,-0.25102982,-0.016127996,-0.07387666,-0.14455941
Mpc2,-0.104820594,0.083609976,-0.050882533,0.03508756,0.19894478,0.08486602,0.077664204,0.00068917766,-0.120335266,-0.11731121,0.04969407,0.08692005,-0.060424015,0.1806106,0.24379213,0.15848479,-0.052231345,0.0105312485,0.016869644,-0.012603834
Creg1,-0.26598713,0.17460662,0.053974565,-0.23383854,0.31811416,0.09397723,-0.08627906,-0.061604,-0.12260229,-0.0854887,0.045657814,-0.025067698,-0.0586734,0.25707075,0.25771284,-0.0019445709,0.18925321,-0.17318659,-0.019440059,-0.09129816
Mgst3,-0.5930811,0.15088971,-0.0031550662,-0.12292812,0.037314862,0.12336497,-0.01727545,-0.05233895,-0.4146028,-0.020511407,-0.07037614,0.06669489,-0.32779813,0.34276706,0.013529479,0.22632873,0.00034369467,0.030043356,-0.020988906,0.032747407
Rgs5,0.6514212,0.5067225,0.08764409,-0.059054445,0.1321197,0.2434237,-0.12201521,-0.07068928,-0.46584082,-0.013729132,0.1180072,-0.74764013,0.55686724,-0.3481135,0.09149058,-0.075127,-0.6892383,0.17548332,0.059469063,0.06397772
Apoa2,-0.2762601,-0.16504368,0.0073927953,0.01542757,0.19111456,0.044259813,0.059606973,0.04545863,-0.4063437,-0.05540412,-0.081988566,0.17642124,-0.35497102,0.5005637,0.007524569,0.16537839,-0.35262823,-0.6031421,-0.06793521,0.027254507
Ppox,-0.45729062,0.1448722,-0.03281588,-0.10693628,0.1181011,0.17831112,-0.031033972,-0.09820936,-0.24719112,0.0053412234,0.033135552,-0.34072414,-0.12988582,0.2514158,0.050179884,0.18949062,0.16280083,-0.0107036615,0.0011242705,-0.062042832
F11r,0.20658931,-0.5002887,-0.006363464,-0.14666863,0.16530803,0.17456205,-0.11951258,-0.016072316,-0.18209982,-0.16730122,0.011495058,0.09060384,-0.25337434,0.31523943,-0.18775572,0.008186806,0.14697765,0.080250874,0.08856883,-0.22295678
B930036N10Rik,-0.39006647,0.30279312,0.039140865,-0.24177703,0.6986231,0.25366622,-0.016336286,-0.16434489,-0.26083514,-0.06737053,0.03482114,-0.37575114,-0.111790426,0.029970543,-0.4109615,-0.058680408,0.3212628,0.13068789,0.09440864,-0.27402112
Tagln2,0.028307268,-0.19992316,-0.03210472,-0.12885347,0.09828688,0.22589849,-0.017637767,-0.14938477,-0.13313115,-0.019766077,-0.00046322125,-0.0007265625,-0.040080313,0.33910125,0.09132028,0.078913204,0.103353664,0.04046098,-0.022045605,-0.11048708
Sccpdh,0.15541686,-0.091260605,-0.029433306,0.019406075,0.083975926,0.24663338,-0.086204804,-0.06612435,-0.104924336,-0.054093163,0.049445737,0.11436326,-0.186718,0.2368638,0.012640448,0.13137099,-0.10961199,-0.0130913,-0.03526565,-0.011752361
Mixl1,-0.28213716,-1.1972951,0.34062764,0.07779987,-0.18175119,0.4131185,0.073343605,0.13978922,0.0055110296,-0.07841059,-0.17523886,-0.7956836,-0.43797463,-0.7289255,-0.029799625,0.12225452,-0.105163716,0.5785498,-0.104839355,-0.12836696
Lefty2,-0.19725186,-0.4459585,0.047006704,0.08483965,0.26842135,-0.356767,-0.29565597,-0.11113482,-0.30397844,-0.45961013,0.0022872104,-1.092491,-0.37740263,-0.42211875,-0.27907115,0.28800547,-0.16661894,0.80067015,-0.10009658,0.33690593
Degs1,-0.015313249,-0.054948214,-0.066420555,-0.11858371,0.28595167,0.28498358,-0.16621304,-0.1035069,-0.18952711,-0.033122435,-0.009406618,0.06664812,-0.07854004,0.19986802,0.13962525,0.12049862,-0.0084931785,0.03885148,-0.019101785,-0.038498864
Capn2,0.27282736,-0.0608105,-0.13709237,-0.08475939,0.22071591,0.033200648,-0.11325986,-0.116903916,-0.035652336,-0.06691582,-0.016599797,0.079287186,-0.014094114,0.1413912,0.24448806,0.18532227,0.049384408,-0.15056555,-0.10217869,0.14804468
Marc2,-0.12298082,-0.00463168,0.0028068833,-0.16537267,0.18847944,0.23470004,0.014333544,-0.10426709,-0.1239605,-0.06534736,-0.07148448,0.19039008,-0.0708862,0.4281422,0.039910022,0.1920137,0.017712954,-0.12131478,-0.012127783,-0.041087873
Tgfb2,0.76729125,0.42315754,0.28535917,-0.22251645,0.25240427,0.2318537,-0.08460511,-0.15844442,-0.52231234,0.13407767,0.32933035,-0.55968684,-0.070509054,0.18268418,-0.11696508,-0.02238145,-0.32020304,-0.035829004,-0.034507982,-0.017090525
Batf3,0.3152383,-0.2933305,0.027409118,0.17072041,0.29628876,-0.11363546,-0.13290301,-0.18851528,-0.38890204,-0.09734952,-0.053610336,0.19356085,0.3648958,0.60085046,-0.21015623,0.027596403,0.21974543,-0.2370647,-0.123388246,-0.45233276
Fam107b,0.45105806,-0.080163114,-0.025987428,-0.24494632,0.052480336,0.15165786,-0.0777067,0.004292026,-0.06344698,-0.102267444,0.048231736,-0.0048843427,-0.21731703,0.43653077,0.21352436,0.064463854,-0.14765856,0.014740462,-0.1041315,-0.015217335
Phyh,0.020099431,-0.20612396,0.009718253,0.042930584,0.050303064,0.26999536,-0.005667176,-0.05729862,-0.2513585,-0.009058796,0.0054732426,0.043461964,-0.28249758,0.427848,-0.0594082,0.24180092,-0.35846314,0.055283397,0.026241716,0.07338207
Sfmbt2,-0.36720097,-0.32139006,0.101950906,0.030138355,0.3544607,0.16969945,-0.16124915,-0.06571933,-0.20960948,-0.14164641,-0.04144155,0.85269904,0.33107385,0.1726623,-0.093063764,-0.13834438,0.036681984,0.2937212,-0.026222672,-0.0017499715
Cubn,-0.52703154,-0.19991048,-0.019214703,-0.09616258,0.35668358,0.3460515,0.05032848,-0.13103302,-0.2583659,-0.14709713,-0.015871802,0.49360475,-0.20601776,0.20062394,-0.15971284,-0.09191413,-0.6769411,-0.44681516,-0.0350656,0.26167515
Vim,0.45057368,-0.04565702,-0.1248638,-0.18068501,0.26538306,0.1850145,0.0036657217,-0.17598495,-0.14561847,-0.013423304,-0.013808356,-0.73936516,0.07338899,-0.092978776,0.10050177,0.10333172,-0.36060265,-0.37550303,0.059822116,-0.15397929
Nrarp,0.3074373,-0.40116268,0.25305077,-0.04663561,0.056265492,0.22759166,0.011513141,-0.008233322,0.004843464,-0.1361803,-0.14201064,-0.19967903,-0.1616233,0.10629024,0.06570344,-0.096941814,0.5684718,-0.06166752,0.038995598,-0.011050676
Uap1l1,-0.081740454,-0.48075807,0.3522956,0.08780999,-0.0566997,0.25459054,-0.080056824,0.060885202,-0.5427437,-0.13543043,-0.14213997,0.56488156,-0.21236235,0.058956366,0.15224439,0.04783934,-0.017475162,-0.25139236,0.13482893,-0.09543604
Notch1,0.369931,-0.3221818,0.07254599,-0.30045018,0.7214919,-0.0657391,0.058560673,0.091046914,0.015528431,-0.14236158,-0.05650535,-0.4509674,-0.15672196,-0.19331242,-0.37298578,-0.25138637,0.25573972,-0.19074103,0.09096966,0.08218407
Egfl7,-0.04842618,-0.15081011,-0.014538611,-0.15936613,0.35137016,0.1888387,-0.010226561,-0.047927924,-0.15500908,-0.0710809,0.035586398,-0.2731,0.047666524,0.32150766,0.19022839,0.03416528,0.007358018,0.033001564,-0.055833843,-0.19369765
Set,-0.042012386,-0.11985167,-0.07770216,0.06574503,0.25711843,0.23941542,-0.04787212,-0.103059016,-0.21388699,-0.059132293,0.019639457,-0.29978138,-0.10344138,0.2694868,0.030598879,0.092795566,0.10458865,0.048643477,-0.024502974,-0.091883324
Prrx2,0.61546916,0.58092636,0.2563302,0.3517425,0.35646603,-0.06725899,-0.0067196065,-0.15155512,-0.3312556,0.12452799,0.048059445,-0.6401626,0.290539,-0.09535248,-0.032244455,-0.123682246,-0.35352063,-0.36544874,-0.059426893,0.10460737
Ass1,-0.3491241,-0.6586471,-0.041238423,-0.02838954,0.13825917,0.13774501,-0.12389358,-0.082158566,-0.22877812,-0.018805355,0.025195682,0.40107515,0.080617934,0.41874614,0.07475585,0.09383906,-0.06888151,0.15795638,0.0054984065,0.009594841
Ak1,0.3937549,-0.23639163,0.25464332,0.018795175,0.15860061,0.2836702,-0.014220209,-0.18506058,-0.3415597,-0.013666152,0.15354383,0.0156838,0.26891208,0.21142745,-0.021660306,0.20432433,0.26792988,0.25282508,0.0570463,0.027301941
Mvb12b,-0.26735324,0.042460095,-0.029505357,-0.2003972,0.21821745,0.27474537,0.24067423,-0.16859479,-0.22871399,0.08513182,-0.010044425,-0.15945153,-0.2641014,0.23014401,0.15857933,0.051985368,-0.13619676,0.031335026,-0.016474277,-0.054448668
Hspa5,0.04141981,-0.033358265,-0.06680001,-0.016318977,0.27278203,0.2678719,-0.12692156,-0.08907485,-0.20164199,-0.01695705,-0.021833586,-0.22445816,-0.16500825,0.23588361,-0.02993796,0.119640395,0.028798154,0.014936577,0.024246173,-0.07106992
Gsn,0.0942759,-0.23910517,0.044707112,-0.28625908,-0.0940563,0.04298631,-0.125241,-0.25617602,-0.18723083,0.035887603,-0.08141571,0.6615885,0.057654582,0.50121826,-0.1307119,0.043641035,0.0014599895,-0.0321572,0.021280745,0.39050245
Zeb2,-0.090156905,0.20427309,-0.11986602,-0.07664997,0.64615875,0.2612664,0.013532925,0.023999142,0.097377986,0.06420222,0.049000572,-0.9270396,-0.065931246,-0.064049155,-0.123219706,0.058188926,-0.0011824768,-0.3708397,0.08613602,0.04005925
Rnd3,0.20628944,0.20076396,-0.25069603,0.039225776,0.09120922,0.31683367,-0.16221319,0.010942065,-0.21329893,-0.031499773,0.054831646,-0.33872756,-0.19278517,0.12385176,-0.21205749,0.14757365,-0.34882134,0.11041609,-0.052652527,0.017852774
Rbms1,0.30782235,0.09587012,-0.08290266,0.02243765,0.20199707,0.08890191,-0.027921,-0.017951407,-0.046613187,0.0054701557,0.047791477,-0.26393926,0.12102286,-0.044380177,-0.067614675,-0.03922475,0.17963198,0.14808404,-0.06683174,-0.059384335
Dpp4,-0.06361996,-0.19031999,-0.019765407,-0.29204878,-0.0051166834,0.3215948,-0.12161199,-0.2769087,-0.037113212,-0.16042842,-0.03245541,0.43695885,-0.33400658,0.6399546,-0.16507357,-0.19625561,-0.7959258,-0.5480605,-0.034876842,0.09469736
Lrp2,-0.30374327,0.25951955,-0.347522,0.104260005,0.58186865,0.27451128,-0.1292519,0.0025995565,-0.2029564,-0.22988893,-0.07917308,0.2288688,0.0075623714,0.5408015,-0.7810076,0.18293364,-0.8743787,-0.15921515,-0.054899372,-0.19469388
Sp5,0.05711476,-0.2103953,0.017383471,0.16944063,-0.29341525,0.2117814,0.0436806,-0.09828194,0.14619143,0.013941252,-0.16357471,-0.8946596,-0.5193882,-0.24830095,-0.6444355,0.1487915,-0.027297886,-0.052013054,-0.18961075,0.12793411
Hoxd1,0.43929303,0.05542777,-0.15397193,0.038709067,0.0009896591,0.483073,-0.2428457,-0.08360228,-0.42732346,-0.28029463,0.24504086,-0.78651935,0.03940402,-0.6273131,0.047326926,0.0052138674,0.03173521,-0.5656483,-0.082974255,-0.3030236
Frzb,0.16235928,-0.081025735,-0.020205965,0.26319844,-0.030716112,0.28687215,-0.057783667,-0.04193945,-0.014082353,0.05429789,-0.20091298,-1.0262886,-0.43678844,-0.24577741,-0.48022383,0.026712034,-0.21879147,0.046204593,-0.17416899,0.18428591
Tfpi,0.0684437,0.13741516,0.02605346,-0.35320288,0.21891311,0.028581575,-0.1659404,-0.18153653,-0.09311884,-0.1727461,-0.11273995,0.06805814,-0.36535943,0.101064146,0.44569933,0.030834999,-0.36540344,-0.03672951,-0.054088607,0.22071278
Ube2l6,-0.73894334,0.189389,0.064669706,-0.103335895,0.13464627,0.19937512,-0.13146952,-0.119841665,-0.043201324,-0.123363085,0.12907876,0.21784925,0.20985761,0.31909445,0.29183522,0.09743399,0.3425703,-0.28402734,-0.02050423,0.051153604
Slc43a3,-0.3857983,0.30581662,0.068457924,-0.45081133,0.19724528,0.17010666,-0.019140761,0.03726548,-0.16649161,-0.0007152211,-0.1412038,-0.6724825,-0.05849936,0.18532181,0.29556432,0.09715361,0.055904146,-0.095460474,-0.023380442,-0.14721248
Aplnr,0.5304105,-0.11568058,-0.022999978,-0.5985052,0.24691035,-0.21697657,-0.016288323,-0.18508625,0.04251882,0.045692194,0.08623842,-1.1855624,-0.14653382,-0.53799933,0.1063409,-0.010277294,-0.20421107,0.015413501,-0.15422507,0.11316545
Mdk,0.030025788,0.023750007,-0.04196369,0.030085191,0.22505715,0.23178403,-0.0021709944,-0.1251924,-0.2607248,-0.08471265,0.004344188,-0.4545101,-0.19953966,0.26407066,-0.009938124,0.091202274,-0.069962025,-0.10634143,-0.021478608,-0.10599834
Trp53i11,0.7586945,-0.26144302,0.060760763,-0.050107334,0.1071624,0.14690886,0.029224727,-0.11426699,-0.06328729,-0.0889357,0.16857882,-0.82175606,0.007240235,0.5110082,-0.43441007,-0.20213461,0.26757595,-0.095240176,-0.06655195,0.2681261
Tspan18,0.0902677,0.18627776,0.13927005,-0.25300357,0.20109218,0.11015104,0.04553003,0.009833634,0.10119548,-0.16820508,0.14260235,0.16431947,0.12761731,0.400781,0.23526084,0.12898202,-0.27321988,-0.139322,-0.035088588,-0.23164888
Elf5,-0.17775267,-0.85602164,0.020826885,0.08735334,0.09666339,0.20545982,-0.09084313,-0.068993144,-0.16701569,-0.06507717,-0.03177425,0.25122607,0.7609203,0.25147855,-0.2859757,-0.03440372,0.56581694,0.35967097,0.012109681,0.21719594
Lmo2,-0.44194221,-0.10744734,0.11617418,-0.3868043,0.015311115,0.16683461,-0.07783619,0.014640846,-0.061479263,-0.07864838,0.0182126,-0.88944846,-0.18341048,-0.20238546,0.5448301,-0.3326656,0.22064306,-0.48406094,-0.024856295,-0.29840285
Cd59a,-0.28250015,0.14766097,0.027417403,-0.61564744,-0.030885153,0.25187427,0.053996764,0.09545298,0.004736673,-0.31356436,0.06500074,0.12860206,-0.25624263,0.28229395,0.48180583,0.046438858,-0.30503127,0.06908781,-0.004285455,-0.0035796387
Depdc7,0.037936874,-0.01762242,0.15922612,0.014751212,0.16276875,0.20911717,-0.2911731,-0.2064311,-0.33478177,-0.039482106,0.018522812,0.22562902,-0.4253383,0.6158552,0.18874872,0.048598006,-0.29584286,-0.36347124,-0.041183468,0.28625354
Mpped2,0.40553796,-0.043605648,0.12828735,0.042123765,0.36949044,0.13004686,-0.042100996,-0.25026157,-0.1870393,-0.21877156,0.2544711,0.10140016,0.2137839,0.27966666,-0.20179838,0.15677361,0.045212604,0.11496414,0.022039955,0.08913912
Meis2,0.4823635,0.18279603,-0.18270294,0.2648529,0.23738822,-0.11058503,-0.029198263,-0.1503465,-0.093646616,0.08282517,0.043905746,-0.68330735,-0.13410442,0.017072247,-0.43556806,0.05353813,-0.16310489,-0.51248425,-0.030779282,-0.045515273
Spint1,0.008576124,-0.4007459,-0.055956576,0.065892525,-0.018889453,0.25906444,-0.14387126,-0.09942169,-0.3624402,-0.104082234,-0.054443084,0.29102486,-0.10483055,0.5153433,-0.689246,0.0772448,0.04366157,-0.07648452,0.039718334,-0.294951
Nusap1,-0.026275657,-0.034534916,-0.05767585,0.037881676,0.1691663,0.18136224,-0.18328354,-0.06651263,-0.23955765,-0.07516257,0.07167303,-0.45725212,-0.067004666,0.33075663,-0.0034879001,0.15851577,0.07765875,0.027298694,-0.025469596,-0.02131279
Sord,-0.3950707,-0.38988647,0.009748089,0.23042883,0.3828621,0.10294144,-0.11268024,-0.095072195,-0.30815306,-0.12103807,0.10405287,0.3088032,-0.0013037227,0.15705076,0.21485549,0.22061262,0.16762395,-0.2027999,0.007115467,0.19418488
Blvra,-0.2777782,-0.21060571,-0.0019982606,-0.026642427,0.21630833,0.11093566,-0.10319483,-0.08448883,-0.22253847,-0.0249725,0.015164067,0.18786512,0.13268925,0.22279018,0.21962957,0.14632487,0.22204444,0.12915295,-0.029365493,-0.030176694
Smox,-0.595547,0.102074504,0.08837382,-0.2364702,0.020940118,0.1767514,-0.06770291,-0.15152965,-0.25858667,-0.015514353,0.058066707,-0.742488,-0.117098585,0.16126344,0.093947165,0.066412404,0.2796936,-0.2427245,-0.0019017387,-0.057308406
Prnp,0.3933968,-0.09272857,0.011702336,-0.40713203,0.31855708,0.21322809,-0.08860867,0.047470763,-0.40296733,-0.110182166,0.07012079,-0.14574769,-0.08708714,0.05335567,-0.2840329,0.44543368,0.15062496,-0.049205754,0.2478057,0.22369461
Bmp2,0.15323588,0.42115787,-0.09006082,-0.58044726,-0.1256409,0.3128245,-0.06328376,0.11234659,0.13693626,-0.039571326,0.31361994,-0.23184094,-0.07391497,-0.037322428,0.29343933,0.07810792,-0.5728275,0.32236424,0.07407688,-0.05236428
