ENSMUSG00000025900
ENSMUSG00000025902
ENSMUSG00000033845
ENSMUSG00000025903
ENSMUSG00000033813
ENSMUSG00000033740
ENSMUSG00000061024
ENSMUSG00000025915
ENSMUSG00000098234
ENSMUSG00000025916
ENSMUSG00000025917
ENSMUSG00000042414
ENSMUSG00000025935
ENSMUSG00000025925
ENSMUSG00000025921
ENSMUSG00000079658
ENSMUSG00000097744
ENSMUSG00000025940
ENSMUSG00000099899
ENSMUSG00000025927
ENSMUSG00000041859
ENSMUSG00000041809
ENSMUSG00000067750
ENSMUSG00000097970
ENSMUSG00000026155
ENSMUSG00000026154
ENSMUSG00000026147
ENSMUSG00000053185
ENSMUSG00000026064
ENSMUSG00000091318
ENSMUSG00000042111
ENSMUSG00000026127
ENSMUSG00000026124
ENSMUSG00000037432
ENSMUSG00000037351
ENSMUSG00000026111
ENSMUSG00000026090
ENSMUSG00000026087
ENSMUSG00000058407
ENSMUSG00000026083
ENSMUSG00000026078
ENSMUSG00000003135
ENSMUSG00000097899
ENSMUSG00000070942
ENSMUSG00000026068
ENSMUSG00000101299
ENSMUSG00000060424
ENSMUSG00000060679
ENSMUSG00000026049
ENSMUSG00000026043
ENSMUSG00000098549
ENSMUSG00000025993
ENSMUSG00000100671
ENSMUSG00000045954
ENSMUSG00000101741
ENSMUSG00000026095
ENSMUSG00000025982
ENSMUSG00000025979
ENSMUSG00000100372
ENSMUSG00000025971
ENSMUSG00000091283
ENSMUSG00000051223
ENSMUSG00000026035
ENSMUSG00000026036
ENSMUSG00000026032
ENSMUSG00000099752
ENSMUSG00000026020
ENSMUSG00000026019
ENSMUSG00000100893
ENSMUSG00000085019
ENSMUSG00000025963
ENSMUSG00000025961
ENSMUSG00000025945
ENSMUSG00000073656
ENSMUSG00000026005
ENSMUSG00000061816
ENSMUSG00000025991
ENSMUSG00000099804
ENSMUSG00000100354
ENSMUSG00000050296
ENSMUSG00000026192
ENSMUSG00000101764
ENSMUSG00000039372
ENSMUSG00000039323
ENSMUSG00000026185
ENSMUSG00000026182
ENSMUSG00000101112
ENSMUSG00000100444
ENSMUSG00000061815
ENSMUSG00000006299
ENSMUSG00000026179
ENSMUSG00000026175
ENSMUSG00000033227
ENSMUSG00000055197
ENSMUSG00000006546
ENSMUSG00000047021
ENSMUSG00000006538
ENSMUSG00000026201
ENSMUSG00000026209
ENSMUSG00000100553
ENSMUSG00000004872
